Hotel ID,Location Sentiment
APLAXMAR,N/A
BCLAXAKB,N/A
BHLAX100,N/A
BRLAXRRB,N/A
BWLAX491,N/A
BWLAX204,N/A
BWLAX463,N/A
BWLAX459,N/A
BWLAX336,N/A
BWLAX600,N/A
BWLAX268,N/A
BWLAX518,N/A
BWLAX517,N/A
BWLAX341,N/A
BWLAX377,N/A
BWLAX696,N/A
BWLAX406,N/A
BWLAX497,N/A
BWLAX595,N/A
BWLAX672,N/A
BWLAX651,N/A
BWLAX674,N/A
BWLAX663,N/A
CCLAXD46,N/A
CILAX139,N/A
CILAX063,N/A
CILAX785,N/A
CILAX080,N/A
CPLAX442,N/A
CPLAX703,N/A
CXLAXHCP,N/A
CYLAXADC,N/A
CYLAXBPC,N/A
CYLAXCVC,N/A
CYLAXCAC,N/A
CYLAXHHC,N/A
CYLAXCEC,N/A
CYLAXCYC,N/A
CYLAXLDC,N/A
CYLAXMRC,N/A
CYLAXSFC,N/A
CYLAXCWC,N/A
CZLAXA66,N/A
CZLAX793,N/A
DCLAX700,N/A
DHLAXAKK,N/A
DILAX728,N/A
DILAX412,N/A
DILAX600,N/A
DTLAX611,N/A
DTLAXCES,N/A
DTLAX213,N/A
DTLAX562,N/A
DTLAX758,N/A
DTLAX280,N/A
EALAX218,N/A
EALAXELS,N/A
EALAX355,N/A
EALAX308,N/A
EALAX219,N/A
EALAXMNV,N/A
EALAX272,N/A
EALAX854,N/A
EALAX356,N/A
EALAX081,N/A
EOLAX431,N/A
EOLAX281,N/A
EOLAX309,N/A
ESLAXG26,N/A
FNLAXOCF,N/A
FNLAXAMF,N/A
FNLAXVLF,N/A
FNLAXFSF,N/A
FSLAX713,N/A
GILAX323,N/A
GILAX420,N/A
GILAX265,N/A
GILAX663,N/A
GQLAX074,N/A
GQLAXORC,N/A
GQLAXSHA,N/A
GQLAX298,N/A
GZLAX176,N/A
GZLAXHDS,N/A
GZLAX457,N/A
HGLAX289,N/A
HHLAX737,N/A
HHLAX269,N/A
HILAX3D2,N/A
HILAX608,N/A
HILAX691,N/A
HILAX4E8,N/A
HILAXE1C,N/A
HILAXDFF,N/A
HILAXBD1,N/A
HILAXD83,N/A
HJLAX697,N/A
HXLAX302,N/A
HXLAXFA6,N/A
HXLAX153,N/A
HXLAX903,N/A
HXLAXDC3,N/A
HYLAXELS,N/A
HYLAXLAX,N/A
HYLAXHCH,N/A
ILLAX222,N/A
ILLAX555,N/A
ILLAX999,N/A
ILLAX888,N/A
ILLAX055,N/A
ILLAX554,N/A
ILLAX575,N/A
ILLAX010,N/A
ILLAX551,N/A
ILLAX335,N/A
ILLAX567,N/A
ILLAX156,N/A
ILLAX874,N/A
ILLAX448,N/A
ILLAX998,N/A
ILLAX257,N/A
ILLAXTOP,N/A
ILLAX478,N/A
ILLAX348,N/A
ILLAX203,N/A
ILLAX144,N/A
KCLAXWIL,N/A
KCLAX711,N/A
KGLAX021,N/A
KGLAX013,N/A
KGLAX484,N/A
LELAX502,N/A
LELAX299,N/A
LELAXBEL,N/A
LELAXELA,N/A
LMLAX625,N/A
LMLAX757,N/A
LOLAXHUN,N/A
LQLAX015,N/A
LQLAXCZD,N/A
LQLAXDAP,N/A
LWLAX750,N/A
LZLAXLSL,N/A
MCLAXAPM,N/A
MCLAXJWM,N/A
MCLAXMNM,N/A
MCLAXMBM,N/A
MCLAXNBM,N/A
MCLAXTRM,N/A
MCLAXWCM,N/A
MNLAXMBH,N/A
MRLAXMON,N/A
MSLAX415,N/A
MSLAX475,N/A
MSLAX876,N/A
MSLAX847,N/A
MSLAX854,N/A
MSLAX948,N/A
MSLAX589,N/A
MSLAX260,N/A
MSLAXSTM,N/A
MSLAX757,N/A
MULAXRHB,N/A
MXLAXA42,N/A
MXLAXH56,N/A
NZLAXD23,N/A
OMLAXCTR,N/A
OZLAX390,N/A
PHLAXTMH,N/A
PNLAX795,N/A
PWLAX002,N/A
QILAX835,N/A
QILAX041,N/A
QILAXB20,N/A
QILAXD12,N/A
QILAX337,N/A
QILAXB57,N/A
RALAX575,N/A
RALAX021,N/A
RALAX177,N/A
RALAX320,N/A
RALAX242,N/A
RCLAXALR,N/A
RCLAXELR,N/A
RCLAXLMR,N/A
RCLAXRBR,N/A
RCLAXAXR,N/A
RCLAXRIR,N/A
RCLAXMHR,N/A
RCLAXPLR,N/A
RCLAXDBR,N/A
RCLAXWVR,N/A
RYLAXB67,N/A
RYLAXA32,N/A
RYLAX480,N/A
RYLAXB72,N/A
RYLAX220,N/A
RYLAXB12,N/A
RYLAX911,N/A
RYLAX323,N/A
RYLAXB11,N/A
RYLAXA95,N/A
RYLAXA49,N/A
RYLAXA91,N/A
RYLAXD49,N/A
RYLAXB15,N/A
RZLAXLZZ,N/A
RZLAXMAR,N/A
SCLAX625,N/A
SCLAXTMM,N/A
SILAX674,N/A
SILAXHCP,N/A
SILAX344,N/A
SILAX598,N/A
SILAXXEB,N/A
SKLAXBEV,N/A
TLLAX030,N/A
TLLAX878,N/A
TLLAX060,N/A
TLLAX091,N/A
TOLAXHTT,N/A
UZLAX623,N/A
UZLAX626,N/A
UZLAXOAH,N/A
UZLAX331,N/A
